Symbol,Sector,Close,EMA_20,Price_vs_EMA,RSI,Momentum,RS_Score,RS_Value,Vol_Ratio,Vol_Score,Mom_Score,EMA_Score,Total_Score,Signal,Emoji,Trend,Score_Trend,Trend_Emoji,Date,Timestamp
TMPV,Automobile,356.54998779296875,346.0385512447446,3.037648987493783,56.748286956129476,49.07203637145305,15,2.616952403323741,5.052673706066992,30,50,20,115,STRONG BUY,🟢,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
ADANIENT,Diversified,,2404.5515375220352,,75.70663430847202,,-25,,2.213898841469046,25,30,-30,0,HOLD,🟡,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
HAL,Aerospace & Defence,,4476.428211420812,,62.57079145522803,,-25,,1.7995727316647223,20,25,-30,-10,SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
TATASTEEL,Metals & Mining,,212.78572461172186,,66.29776889510869,,-25,,1.3380886996806407,10,30,-30,-15,SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
ADANIPOWER,Power & Utilities,,212.90062487523494,,65.3703961186138,,-25,,1.1438709277429457,0,30,-30,-25,SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
SAIL,Metals & Mining,,182.67889482380613,,69.60154771727314,,-25,,0.8017344390200036,0,30,-30,-25,SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
GAIL,Energy,,161.90931935180845,,53.93037377341132,,-25,,0.8294752629475721,0,20,-30,-35,SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
ASIANPAINT,FMCG,,2496.5788150483213,,65.75142745108195,,-25,,0.7511150366110094,-15,30,-30,-40,SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
OIL,Energy,,479.3449360385363,,66.65964200990703,,-25,,0.5506527917463071,-15,30,-30,-40,SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
MOTILALOFS,Financial Services,,823.9378419344977,,60.624575849584446,,-25,,0.3932932795978452,-15,25,-30,-45,STRONG SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
ITC,FMCG,,306.5707184228563,,51.15568971502152,,-25,,0.7073420600377981,-15,20,-30,-50,STRONG SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
PFC,Power Finance,,451.02728810120806,,52.09048101339703,,-25,,0.4882371876826826,-15,20,-30,-50,STRONG SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
LT,Infrastructure,,3967.913423149154,,48.58375914755374,,-25,,0.5073949320408258,-15,10,-30,-60,STRONG SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
IOC,Energy,,143.2128207447247,,43.07738243100393,,-25,,2.4696284854962935,25,-30,-30,-60,STRONG SELL,🔴,Bearish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
IRCTC,Railways & Tourism,,548.9503506597019,,44.68202273015166,,-25,,0.4183923829119758,-15,10,-30,-60,STRONG SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
HINDUNILVR,FMCG,,2266.793123544417,,48.76076739030898,,-25,,0.5467370662373586,-15,10,-30,-60,STRONG SELL,🔴,Bullish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
RELIANCE,Energy,,1391.7688120687912,,43.38890865768205,,-25,,1.0330490313294578,0,-30,-30,-85,STRONG SELL,🔴,Bearish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
JIOFIN,Financial Services,233.05999755859375,241.3902615434059,-3.4509527979919072,41.971869306923665,26.792610616819303,-25,-2.5388935020144654,0.3925713981834574,-15,-30,-20,-90,STRONG SELL,🔴,Bearish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
TMCV,Automobile,,413.056976784364,,33.75830077103855,,-25,,1.211923215359663,10,-45,-30,-90,STRONG SELL,🔴,Bearish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
VEDL,Metals & Mining,,449.87676953448164,,29.437413945047396,,-25,,1.2683809158787527,10,-45,-30,-90,STRONG SELL,🔴,Bearish,NEW,🆕,2026-05-16,2026-05-16 07:13:43
