Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,ADANIENT,	Adani Enterprises Limited,1961.1,1195448,Neutral,Neutral,Neutral,,,,
2026-03-16,ADANIENT,	Adani Enterprises Limited,1978.0,1465828,Neutral,Neutral,Neutral,,,,
2026-03-17,ADANIENT,	Adani Enterprises Limited,1975.4,1268988,Neutral,Neutral,Neutral,,,,
2026-03-18,ADANIENT,	Adani Enterprises Limited,2007.2,1041095,Neutral,Neutral,Neutral,,,,
2026-03-19,ADANIENT,	Adani Enterprises Limited,1936.8,1510588,Neutral,Neutral,Neutral,,,,
2026-03-20,ADANIENT,	Adani Enterprises Limited,1927.1,1175662,Neutral,Neutral,Neutral,,,,
2026-03-23,ADANIENT,	Adani Enterprises Limited,1833.0,2370668,Neutral,Neutral,Neutral,,,,
2026-03-24,ADANIENT,	Adani Enterprises Limited,1817.9,11211381,Neutral,Neutral,Neutral,,,,
2026-03-25,ADANIENT,	Adani Enterprises Limited,1886.6,2537690,Neutral,Neutral,Neutral,,,,
2026-03-27,ADANIENT,	Adani Enterprises Limited,1823.0,2585257,Neutral,Neutral,Neutral,,,,
2026-03-30,ADANIENT,	Adani Enterprises Limited,1758.8,2825299,Sell,Neutral,Neutral,,-10.32,,
2026-04-01,ADANIENT,	Adani Enterprises Limited,1842.5,2328166,Sell,Neutral,Neutral,,-6.85,,
2026-04-02,ADANIENT,	Adani Enterprises Limited,1834.2,1830598,Sell,Neutral,Neutral,,-7.15,,
2026-04-06,ADANIENT,	Adani Enterprises Limited,1902.2,3153437,Sell,Neutral,Neutral,49.41,-5.23,,
2026-04-07,ADANIENT,	Adani Enterprises Limited,1882.1,1566909,Neutral,Neutral,Neutral,47.01,-2.82,,
2026-04-08,ADANIENT,	Adani Enterprises Limited,2043.8,4197831,Neutral,Neutral,Neutral,62.69,6.06,,
2026-04-09,ADANIENT,	Adani Enterprises Limited,2040.5,2481188,Neutral,Neutral,Neutral,62.29,11.32,,
2026-04-10,ADANIENT,	Adani Enterprises Limited,2086.8,1700162,Neutral,Neutral,Neutral,65.64,14.79,,
2026-04-13,ADANIENT,	Adani Enterprises Limited,2129.0,3729773,Neutral,Neutral,Neutral,68.4,12.85,,
2026-04-15,ADANIENT,	Adani Enterprises Limited,2144.4,1779015,Neutral,Neutral,Sell,69.37,17.63,,168.37
2026-04-16,ADANIENT,	Adani Enterprises Limited,2203.7,2188912,Sell,Neutral,Sell,72.82,25.3,,163.33
2026-04-17,ADANIENT,	Adani Enterprises Limited,2218.3,2408901,Sell,Neutral,Sell,73.61,20.4,,150.36
2026-04-20,ADANIENT,	Adani Enterprises Limited,2229.6,1795338,Sell,Neutral,Sell,74.23,21.56,,137.63
2026-04-21,ADANIENT,	Adani Enterprises Limited,2226.0,1818221,Sell,Neutral,Sell,73.63,17.02,,117.87
2026-04-22,ADANIENT,	Adani Enterprises Limited,2260.8,3517237,Sell,Neutral,Sell,75.67,20.12,,111.44
2026-04-23,ADANIENT,	Adani Enterprises Limited,2300.0,2948009,Sell,Neutral,Sell,77.75,12.54,,110.71
2026-04-24,ADANIENT,	Adani Enterprises Limited,2287.6,2271317,Sell,Neutral,Sell,75.55,12.11,,98.4
2026-04-27,ADANIENT,	Adani Enterprises Limited,2321.8,1500864,Sell,Neutral,Sell,77.44,11.26,,102.9
2026-04-28,ADANIENT,	Adani Enterprises Limited,2412.4,4375556,Sell,Neutral,Sell,81.53,13.31,,118.86
2026-04-29,ADANIENT,	Adani Enterprises Limited,,4656652,Strong Sell,Neutral,Sell,81.53,,,
