Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,ADANIPOWER,	Adani Power Limited,146.57,54479845,Neutral,Neutral,Neutral,,,,
2026-03-16,ADANIPOWER,	Adani Power Limited,154.06,90227164,Neutral,Neutral,Neutral,,,,
2026-03-17,ADANIPOWER,	Adani Power Limited,155.6,41644726,Neutral,Neutral,Neutral,,,,
2026-03-18,ADANIPOWER,	Adani Power Limited,154.07,28773212,Neutral,Neutral,Neutral,,,,
2026-03-19,ADANIPOWER,	Adani Power Limited,151.01,17635762,Neutral,Neutral,Neutral,,,,
2026-03-20,ADANIPOWER,	Adani Power Limited,151.54,44265976,Neutral,Neutral,Neutral,,,,
2026-03-23,ADANIPOWER,	Adani Power Limited,147.85,25968931,Neutral,Neutral,Neutral,,,,
2026-03-24,ADANIPOWER,	Adani Power Limited,150.11,21762199,Neutral,Neutral,Neutral,,,,
2026-03-25,ADANIPOWER,	Adani Power Limited,153.65,33813515,Neutral,Neutral,Neutral,,,,
2026-03-27,ADANIPOWER,	Adani Power Limited,153.92,23958053,Neutral,Neutral,Neutral,,,,
2026-03-30,ADANIPOWER,	Adani Power Limited,150.43,21100984,Neutral,Neutral,Neutral,,2.63,,
2026-04-01,ADANIPOWER,	Adani Power Limited,157.11,48215780,Neutral,Neutral,Neutral,,1.98,,
2026-04-02,ADANIPOWER,	Adani Power Limited,159.97,59833120,Neutral,Neutral,Neutral,,2.81,,
2026-04-06,ADANIPOWER,	Adani Power Limited,163.26,127464037,Sell,Neutral,Sell,73.14,5.96,,
2026-04-07,ADANIPOWER,	Adani Power Limited,163.36,34671421,Sell,Neutral,Sell,73.25,8.18,,
2026-04-08,ADANIPOWER,	Adani Power Limited,169.31,66318120,Sell,Neutral,Sell,78.65,11.73,,
2026-04-09,ADANIPOWER,	Adani Power Limited,172.33,42258124,Sell,Neutral,Sell,80.77,16.56,,
2026-04-10,ADANIPOWER,	Adani Power Limited,175.81,51959590,Sell,Neutral,Sell,82.89,17.12,,
2026-04-13,ADANIPOWER,	Adani Power Limited,181.35,91406261,Sell,Neutral,Sell,85.6,18.03,,
2026-04-15,ADANIPOWER,	Adani Power Limited,183.43,51497511,Sell,Neutral,Sell,86.47,19.17,,184.19
2026-04-16,ADANIPOWER,	Adani Power Limited,193.19,69751834,Sell,Neutral,Sell,89.62,28.43,,186.33
2026-04-17,ADANIPOWER,	Adani Power Limited,198.5,95051761,Sell,Neutral,Sell,90.87,26.34,,183.2
2026-04-20,ADANIPOWER,	Adani Power Limited,200.83,81881887,Sell,Neutral,Sell,91.36,25.54,,172.92
2026-04-21,ADANIPOWER,	Adani Power Limited,202.98,57973716,Sell,Neutral,Sell,91.8,24.33,,154.07
2026-04-22,ADANIPOWER,	Adani Power Limited,215.65,117165796,Sell,Neutral,Sell,93.8,32.01,,158.66
2026-04-23,ADANIPOWER,	Adani Power Limited,214.18,58947381,Sell,Neutral,Sell,91.03,26.5,,144.66
2026-04-24,ADANIPOWER,	Adani Power Limited,212.9,61885765,Sell,Neutral,Sell,88.58,23.54,,119.02
2026-04-27,ADANIPOWER,	Adani Power Limited,218.05,57532309,Sell,Neutral,Sell,89.77,24.03,,122.37
2026-04-28,ADANIPOWER,	Adani Power Limited,223.35,46710708,Sell,Neutral,Sell,90.83,23.16,,120.19
2026-04-29,ADANIPOWER,	Adani Power Limited,,51812961,Strong Sell,Neutral,Sell,90.83,,,
