Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,ASIANPAINT,	Asian Paints Ltd.,2196.8,949233,Neutral,Neutral,Neutral,,,,
2026-03-16,ASIANPAINT,	Asian Paints Ltd.,2217.7,1111587,Neutral,Neutral,Neutral,,,,
2026-03-17,ASIANPAINT,	Asian Paints Ltd.,2238.2,875461,Neutral,Neutral,Neutral,,,,
2026-03-18,ASIANPAINT,	Asian Paints Ltd.,2262.1,844912,Neutral,Neutral,Neutral,,,,
2026-03-19,ASIANPAINT,	Asian Paints Ltd.,2186.0,889334,Neutral,Neutral,Neutral,,,,
2026-03-20,ASIANPAINT,	Asian Paints Ltd.,2195.4,875920,Neutral,Neutral,Neutral,,,,
2026-03-23,ASIANPAINT,	Asian Paints Ltd.,2121.3,978398,Neutral,Neutral,Neutral,,,,
2026-03-24,ASIANPAINT,	Asian Paints Ltd.,2217.3,1561016,Neutral,Neutral,Neutral,,,,
2026-03-25,ASIANPAINT,	Asian Paints Ltd.,2270.2,1270855,Neutral,Neutral,Neutral,,,,
2026-03-27,ASIANPAINT,	Asian Paints Ltd.,2207.4,1089010,Neutral,Neutral,Neutral,,,,
2026-03-30,ASIANPAINT,	Asian Paints Ltd.,2165.2,1513565,Neutral,Neutral,Neutral,,-1.44,,
2026-04-01,ASIANPAINT,	Asian Paints Ltd.,2225.8,1209900,Neutral,Neutral,Neutral,,0.37,,
2026-04-02,ASIANPAINT,	Asian Paints Ltd.,2169.0,1854061,Neutral,Neutral,Neutral,,-3.09,,
2026-04-06,ASIANPAINT,	Asian Paints Ltd.,2184.3,2048228,Neutral,Neutral,Neutral,48.01,-3.44,,
2026-04-07,ASIANPAINT,	Asian Paints Ltd.,2186.2,1793007,Neutral,Neutral,Neutral,48.27,0.01,,
2026-04-08,ASIANPAINT,	Asian Paints Ltd.,2282.4,2914767,Neutral,Neutral,Neutral,59.16,3.96,,
2026-04-09,ASIANPAINT,	Asian Paints Ltd.,2269.6,1980060,Buy,Neutral,Neutral,57.43,6.99,,
2026-04-10,ASIANPAINT,	Asian Paints Ltd.,2360.7,3018178,Neutral,Neutral,Neutral,65.23,6.47,,
2026-04-13,ASIANPAINT,	Asian Paints Ltd.,2352.4,1734562,Sell,Neutral,Neutral,64.08,3.62,,
2026-04-15,ASIANPAINT,	Asian Paints Ltd.,2423.1,1182431,Neutral,Neutral,Sell,69.09,9.77,,228.84
2026-04-16,ASIANPAINT,	Asian Paints Ltd.,2440.3,1496210,Sell,Neutral,Sell,70.18,12.71,,203.28
2026-04-17,ASIANPAINT,	Asian Paints Ltd.,2464.0,1286575,Sell,Neutral,Sell,71.66,10.7,,184.07
2026-04-20,ASIANPAINT,	Asian Paints Ltd.,2516.8,1203157,Sell,Neutral,Sell,74.68,16.04,,178.61
2026-04-21,ASIANPAINT,	Asian Paints Ltd.,2543.6,1681872,Sell,Neutral,Sell,76.08,16.45,,172.17
2026-04-22,ASIANPAINT,	Asian Paints Ltd.,2562.9,1126584,Sell,Neutral,Sell,77.06,17.23,,143.0
2026-04-23,ASIANPAINT,	Asian Paints Ltd.,2521.4,1378614,Sell,Neutral,Sell,70.38,10.47,,113.63
2026-04-24,ASIANPAINT,	Asian Paints Ltd.,2485.1,436871,Neutral,Neutral,Neutral,65.07,9.5,,88.39
2026-04-27,ASIANPAINT,	Asian Paints Ltd.,2485.2,452134,Neutral,Neutral,Neutral,65.08,5.27,,76.23
2026-04-28,ASIANPAINT,	Asian Paints Ltd.,2462.6,556571,Sell,Neutral,Neutral,61.72,4.68,,58.61
2026-04-29,ASIANPAINT,	Asian Paints Ltd.,,603554,Sell,Neutral,Neutral,61.72,,,
