Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,GAIL,	GAL (India) Limited,147.78,11388686,Neutral,Neutral,Neutral,,,,
2026-03-16,GAIL,	GAL (India) Limited,146.06,10325467,Neutral,Neutral,Neutral,,,,
2026-03-17,GAIL,	GAL (India) Limited,147.71,13154638,Neutral,Neutral,Neutral,,,,
2026-03-18,GAIL,	GAL (India) Limited,150.95,10219424,Neutral,Neutral,Neutral,,,,
2026-03-19,GAIL,	GAL (India) Limited,144.27,10509747,Neutral,Neutral,Neutral,,,,
2026-03-20,GAIL,	GAL (India) Limited,142.87,21738634,Neutral,Neutral,Neutral,,,,
2026-03-23,GAIL,	GAL (India) Limited,135.4,16552069,Neutral,Neutral,Neutral,,,,
2026-03-24,GAIL,	GAL (India) Limited,137.67,22824139,Neutral,Neutral,Neutral,,,,
2026-03-25,GAIL,	GAL (India) Limited,139.2,17031700,Neutral,Neutral,Neutral,,,,
2026-03-27,GAIL,	GAL (India) Limited,137.19,18663640,Neutral,Neutral,Neutral,,,,
2026-03-30,GAIL,	GAL (India) Limited,137.71,21810845,Sell,Neutral,Neutral,,-6.81,,
2026-04-01,GAIL,	GAL (India) Limited,140.67,15145719,Neutral,Neutral,Neutral,,-3.69,,
2026-04-02,GAIL,	GAL (India) Limited,141.73,15268069,Neutral,Neutral,Neutral,,-4.05,,
2026-04-06,GAIL,	GAL (India) Limited,143.14,11466136,Sell,Neutral,Neutral,48.33,-5.17,,
2026-04-07,GAIL,	GAL (India) Limited,145.38,15413074,Neutral,Neutral,Neutral,53.65,0.77,,
2026-04-08,GAIL,	GAL (India) Limited,153.3,21095009,Neutral,Neutral,Neutral,66.71,7.3,,
2026-04-09,GAIL,	GAL (India) Limited,152.22,10066115,Neutral,Neutral,Neutral,64.06,12.42,,
2026-04-10,GAIL,	GAL (India) Limited,154.08,14099404,Neutral,Neutral,Neutral,66.53,11.92,,
2026-04-13,GAIL,	GAL (India) Limited,153.71,15551444,Neutral,Neutral,Neutral,65.57,10.42,,
2026-04-15,GAIL,	GAL (India) Limited,156.12,13040725,Neutral,Neutral,Sell,68.74,13.8,,133.82
2026-04-16,GAIL,	GAL (India) Limited,158.92,9582628,Sell,Neutral,Sell,71.98,15.4,,143.06
2026-04-17,GAIL,	GAL (India) Limited,157.82,13015627,Neutral,Neutral,Sell,68.96,12.19,,123.76
2026-04-20,GAIL,	GAL (India) Limited,157.7,5864225,Neutral,Neutral,Sell,68.62,11.27,,100.92
2026-04-21,GAIL,	GAL (India) Limited,160.77,13146924,Sell,Neutral,Sell,72.36,12.32,,113.43
2026-04-22,GAIL,	GAL (India) Limited,166.12,14769257,Sell,Neutral,Sell,77.4,14.27,,129.23
2026-04-23,GAIL,	GAL (India) Limited,164.96,13410932,Sell,Neutral,Sell,74.24,7.61,,121.55
2026-04-24,GAIL,	GAL (India) Limited,165.61,9362530,Sell,Neutral,Sell,74.86,8.8,,108.37
2026-04-27,GAIL,	GAL (India) Limited,165.74,18132384,Sell,Neutral,Sell,74.99,7.57,,109.56
2026-04-28,GAIL,	GAL (India) Limited,165.68,6106987,Sell,Neutral,Sell,74.8,7.79,,100.98
2026-04-29,GAIL,	GAL (India) Limited,,8163590,Strong Sell,Neutral,Sell,74.8,,,
