Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,HDFCBANK,HDFC Bank Ltd,817.0,41700464,Neutral,Neutral,Neutral,,,,
2026-03-16,HDFCBANK,HDFC Bank Ltd,840.6,52182605,Neutral,Neutral,Neutral,,,,
2026-03-17,HDFCBANK,HDFC Bank Ltd,845.35,38826979,Neutral,Neutral,Neutral,,,,
2026-03-18,HDFCBANK,HDFC Bank Ltd,843.05,23507063,Neutral,Neutral,Neutral,,,,
2026-03-19,HDFCBANK,HDFC Bank Ltd,798.2,171637393,Neutral,Neutral,Neutral,,,,
2026-03-20,HDFCBANK,HDFC Bank Ltd,780.45,103129469,Neutral,Neutral,Neutral,,,,
2026-03-23,HDFCBANK,HDFC Bank Ltd,744.15,72341738,Neutral,Neutral,Neutral,,,,
2026-03-24,HDFCBANK,HDFC Bank Ltd,764.9,61269986,Neutral,Neutral,Neutral,,,,
2026-03-25,HDFCBANK,HDFC Bank Ltd,782.3,59230640,Neutral,Neutral,Neutral,,,,
2026-03-27,HDFCBANK,HDFC Bank Ltd,756.2,65485199,Neutral,Neutral,Neutral,,,,
2026-03-30,HDFCBANK,HDFC Bank Ltd,731.55,103500135,Sell,Neutral,Neutral,,-10.46,,
2026-04-01,HDFCBANK,HDFC Bank Ltd,742.25,78862761,Sell,Neutral,Neutral,,-11.7,,
2026-04-02,HDFCBANK,HDFC Bank Ltd,750.9,49310300,Sell,Neutral,Neutral,,-11.17,,
2026-04-06,HDFCBANK,HDFC Bank Ltd,771.0,42976659,Sell,Neutral,Neutral,44.03,-8.55,,
2026-04-07,HDFCBANK,HDFC Bank Ltd,772.0,51309793,Neutral,Neutral,Neutral,44.38,-3.28,,
2026-04-08,HDFCBANK,HDFC Bank Ltd,816.1,70269512,Neutral,Neutral,Neutral,57.23,4.57,,
2026-04-09,HDFCBANK,HDFC Bank Ltd,797.7,48879392,Buy,Neutral,Neutral,51.85,7.2,,
2026-04-10,HDFCBANK,HDFC Bank Ltd,810.3,38156026,Buy,Neutral,Neutral,54.97,5.94,,
2026-04-13,HDFCBANK,HDFC Bank Ltd,794.7,47549328,Neutral,Neutral,Neutral,50.6,1.59,,
2026-04-15,HDFCBANK,HDFC Bank Ltd,809.9,39769515,Buy,Neutral,Neutral,54.41,7.1,,52.74
2026-04-16,HDFCBANK,HDFC Bank Ltd,795.45,62861293,Buy,Neutral,Neutral,50.43,8.73,,38.77
2026-04-17,HDFCBANK,HDFC Bank Ltd,799.9,37282544,Buy,Neutral,Neutral,51.6,7.77,,32.54
2026-04-20,HDFCBANK,HDFC Bank Ltd,795.45,52148044,Buy,Neutral,Neutral,50.32,5.93,,45.19
2026-04-21,HDFCBANK,HDFC Bank Ltd,811.75,49135752,Buy,Neutral,Neutral,54.76,5.29,,80.49
2026-04-22,HDFCBANK,HDFC Bank Ltd,799.9,23876412,Neutral,Neutral,Neutral,51.18,3.61,,66.78
2026-04-23,HDFCBANK,HDFC Bank Ltd,784.35,37677616,Neutral,Neutral,Neutral,46.85,-3.89,,18.13
2026-04-24,HDFCBANK,HDFC Bank Ltd,784.85,27720358,Neutral,Neutral,Neutral,47.0,-1.61,,-0.84
2026-04-27,HDFCBANK,HDFC Bank Ltd,789.8,18115375,Neutral,Neutral,Neutral,48.6,-2.53,,15.48
2026-04-28,HDFCBANK,HDFC Bank Ltd,782.55,35366803,Neutral,Neutral,Neutral,46.39,-1.53,,0.58
2026-04-29,HDFCBANK,HDFC Bank Ltd,,25793855,Neutral,Neutral,Neutral,46.39,,,
