Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,HINDUNILVR,	Hindustan Unilever Limited,2160.0,2298875,Neutral,Neutral,Neutral,,,,
2026-03-16,HINDUNILVR,	Hindustan Unilever Limited,2175.7,1981511,Neutral,Neutral,Neutral,,,,
2026-03-17,HINDUNILVR,	Hindustan Unilever Limited,2158.2,1705956,Neutral,Neutral,Neutral,,,,
2026-03-18,HINDUNILVR,	Hindustan Unilever Limited,2135.3,2441148,Neutral,Neutral,Neutral,,,,
2026-03-19,HINDUNILVR,	Hindustan Unilever Limited,2077.3,2098905,Neutral,Neutral,Neutral,,,,
2026-03-20,HINDUNILVR,	Hindustan Unilever Limited,2082.7,2429744,Neutral,Neutral,Neutral,,,,
2026-03-23,HINDUNILVR,	Hindustan Unilever Limited,2052.2,2599535,Neutral,Neutral,Neutral,,,,
2026-03-24,HINDUNILVR,	Hindustan Unilever Limited,2085.0,1702418,Neutral,Neutral,Neutral,,,,
2026-03-25,HINDUNILVR,	Hindustan Unilever Limited,2134.8,2069217,Neutral,Neutral,Neutral,,,,
2026-03-27,HINDUNILVR,	Hindustan Unilever Limited,2074.4,2789151,Neutral,Neutral,Neutral,,,,
2026-03-30,HINDUNILVR,	Hindustan Unilever Limited,2055.2,2482193,Neutral,Neutral,Neutral,,-4.85,,
2026-04-01,HINDUNILVR,	Hindustan Unilever Limited,2064.7,2028470,Sell,Neutral,Neutral,,-5.1,,
2026-04-02,HINDUNILVR,	Hindustan Unilever Limited,2065.3,1431905,Neutral,Neutral,Neutral,,-4.3,,
2026-04-06,HINDUNILVR,	Hindustan Unilever Limited,2084.8,1661298,Neutral,Neutral,Neutral,42.32,-2.37,,
2026-04-07,HINDUNILVR,	Hindustan Unilever Limited,2110.6,2709707,Neutral,Neutral,Neutral,48.79,1.6,,
2026-04-08,HINDUNILVR,	Hindustan Unilever Limited,2145.6,3794437,Neutral,Neutral,Neutral,56.0,3.02,,
2026-04-09,HINDUNILVR,	Hindustan Unilever Limited,2133.2,2506245,Neutral,Neutral,Neutral,53.15,3.95,,
2026-04-10,HINDUNILVR,	Hindustan Unilever Limited,2155.3,2144484,Neutral,Neutral,Neutral,57.32,3.37,,
2026-04-13,HINDUNILVR,	Hindustan Unilever Limited,2127.2,1994541,Neutral,Neutral,Neutral,51.09,-0.36,,
2026-04-15,HINDUNILVR,	Hindustan Unilever Limited,2157.6,1552971,Neutral,Neutral,Neutral,56.59,4.01,,79.04
2026-04-16,HINDUNILVR,	Hindustan Unilever Limited,2139.1,1845734,Neutral,Neutral,Neutral,52.7,4.08,,59.83
2026-04-17,HINDUNILVR,	Hindustan Unilever Limited,2240.8,4882697,Neutral,Neutral,Sell,66.37,8.53,,167.3
2026-04-20,HINDUNILVR,	Hindustan Unilever Limited,2231.5,1460822,Neutral,Neutral,Sell,64.53,8.05,,195.29
2026-04-21,HINDUNILVR,	Hindustan Unilever Limited,2310.7,3217281,Sell,Neutral,Sell,71.71,10.84,,232.82
2026-04-22,HINDUNILVR,	Hindustan Unilever Limited,2368.8,5558325,Sell,Neutral,Sell,75.61,12.23,,252.3
2026-04-23,HINDUNILVR,	Hindustan Unilever Limited,2366.4,2063531,Sell,Neutral,Sell,75.15,10.29,,202.91
2026-04-24,HINDUNILVR,	Hindustan Unilever Limited,2327.3,1676706,Neutral,Neutral,Sell,67.89,9.1,,142.74
2026-04-27,HINDUNILVR,	Hindustan Unilever Limited,2328.3,1099681,Neutral,Neutral,Sell,67.98,8.03,,120.02
2026-04-28,HINDUNILVR,	Hindustan Unilever Limited,2289.5,1629120,Neutral,Neutral,Neutral,61.19,7.63,,80.78
2026-04-29,HINDUNILVR,	Hindustan Unilever Limited,,1778761,Sell,Neutral,Neutral,61.19,,,
