Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,ICICIBANK,ICICI Bank Ltd,1254.8,17344394,Neutral,Neutral,Neutral,,,,
2026-03-16,ICICIBANK,ICICI Bank Ltd,1272.9,22740688,Neutral,Neutral,Neutral,,,,
2026-03-17,ICICIBANK,ICICI Bank Ltd,1288.7,22303102,Neutral,Neutral,Neutral,,,,
2026-03-18,ICICIBANK,ICICI Bank Ltd,1289.3,12961135,Neutral,Neutral,Neutral,,,,
2026-03-19,ICICIBANK,ICICI Bank Ltd,1250.1,14422899,Neutral,Neutral,Neutral,,,,
2026-03-20,ICICIBANK,ICICI Bank Ltd,1245.4,16421006,Neutral,Neutral,Neutral,,,,
2026-03-23,ICICIBANK,ICICI Bank Ltd,1222.7,17049534,Neutral,Neutral,Neutral,,,,
2026-03-24,ICICIBANK,ICICI Bank Ltd,1251.2,20617782,Neutral,Neutral,Neutral,,,,
2026-03-25,ICICIBANK,ICICI Bank Ltd,1259.7,17290030,Neutral,Neutral,Neutral,,,,
2026-03-27,ICICIBANK,ICICI Bank Ltd,1233.8,23630905,Neutral,Neutral,Neutral,,,,
2026-03-30,ICICIBANK,ICICI Bank Ltd,1205.9,23952775,Neutral,Neutral,Neutral,,-3.9,,
2026-04-01,ICICIBANK,ICICI Bank Ltd,1212.7,25472333,Neutral,Neutral,Neutral,,-4.73,,
2026-04-02,ICICIBANK,ICICI Bank Ltd,1215.8,20851722,Sell,Neutral,Neutral,,-5.66,,
2026-04-06,ICICIBANK,ICICI Bank Ltd,1231.4,10058414,Neutral,Neutral,Neutral,44.81,-4.49,,
2026-04-07,ICICIBANK,ICICI Bank Ltd,1245.5,25600557,Neutral,Neutral,Neutral,50.18,-0.37,,
2026-04-08,ICICIBANK,ICICI Bank Ltd,1309.2,25148651,Neutral,Neutral,Neutral,66.18,5.12,,
2026-04-09,ICICIBANK,ICICI Bank Ltd,1281.3,22923062,Neutral,Neutral,Neutral,57.47,4.79,,
2026-04-10,ICICIBANK,ICICI Bank Ltd,1321.9,18174755,Neutral,Neutral,Neutral,64.74,5.65,,
2026-04-13,ICICIBANK,ICICI Bank Ltd,1351.1,30572141,Neutral,Neutral,Neutral,68.86,7.26,,
2026-04-15,ICICIBANK,ICICI Bank Ltd,1348.1,23827473,Neutral,Neutral,Sell,67.98,9.26,,178.82
2026-04-16,ICICIBANK,ICICI Bank Ltd,1345.5,24017236,Neutral,Neutral,Sell,67.18,11.58,,147.71
2026-04-17,ICICIBANK,ICICI Bank Ltd,1346.8,18151993,Neutral,Neutral,Sell,67.39,11.06,,116.74
2026-04-20,ICICIBANK,ICICI Bank Ltd,1356.2,21551520,Neutral,Neutral,Sell,68.91,11.55,,125.69
2026-04-21,ICICIBANK,ICICI Bank Ltd,1388.4,23312455,Sell,Neutral,Sell,73.49,12.75,,131.04
2026-04-22,ICICIBANK,ICICI Bank Ltd,1367.6,13613487,Neutral,Neutral,Sell,66.66,9.8,,104.03
2026-04-23,ICICIBANK,ICICI Bank Ltd,1348.0,20111792,Sell,Neutral,Neutral,60.92,2.96,,69.0
2026-04-24,ICICIBANK,ICICI Bank Ltd,1326.2,14056743,Neutral,Neutral,Neutral,55.23,3.5,,45.3
2026-04-27,ICICIBANK,ICICI Bank Ltd,1314.1,15385625,Neutral,Neutral,Neutral,52.3,-0.59,,25.81
2026-04-28,ICICIBANK,ICICI Bank Ltd,1292.0,16774778,Neutral,Neutral,Neutral,47.37,-4.37,,-4.63
2026-04-29,ICICIBANK,ICICI Bank Ltd,,11715358,Neutral,Neutral,Neutral,47.37,,,
