Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,IOC,	Indian Oil Corp. Ltd.,156.54,11958819,Neutral,Neutral,Neutral,,,,
2026-03-16,IOC,	Indian Oil Corp. Ltd.,148.96,35687077,Neutral,Neutral,Neutral,,,,
2026-03-17,IOC,	Indian Oil Corp. Ltd.,146.68,19101788,Neutral,Neutral,Neutral,,,,
2026-03-18,IOC,	Indian Oil Corp. Ltd.,148.27,20318430,Neutral,Neutral,Neutral,,,,
2026-03-19,IOC,	Indian Oil Corp. Ltd.,142.73,20076945,Neutral,Neutral,Neutral,,,,
2026-03-20,IOC,	Indian Oil Corp. Ltd.,144.6,34636614,Neutral,Neutral,Neutral,,,,
2026-03-23,IOC,	Indian Oil Corp. Ltd.,138.11,21048472,Neutral,Neutral,Neutral,,,,
2026-03-24,IOC,	Indian Oil Corp. Ltd.,138.7,30509694,Neutral,Neutral,Neutral,,,,
2026-03-25,IOC,	Indian Oil Corp. Ltd.,140.52,22848464,Neutral,Neutral,Neutral,,,,
2026-03-27,IOC,	Indian Oil Corp. Ltd.,137.76,29985724,Neutral,Neutral,Neutral,,,,
2026-03-30,IOC,	Indian Oil Corp. Ltd.,135.4,28375902,Sell,Neutral,Neutral,,-13.5,,
2026-04-01,IOC,	Indian Oil Corp. Ltd.,135.72,26367709,Sell,Neutral,Neutral,,-8.89,,
2026-04-02,IOC,	Indian Oil Corp. Ltd.,134.13,22834708,Sell,Neutral,Neutral,,-8.56,,
2026-04-06,IOC,	Indian Oil Corp. Ltd.,134.05,25356388,Buy,Neutral,Buy,18.48,-9.59,,
2026-04-07,IOC,	Indian Oil Corp. Ltd.,134.44,20626751,Buy,Neutral,Buy,20.16,-5.81,,
2026-04-08,IOC,	Indian Oil Corp. Ltd.,143.35,45807508,Neutral,Neutral,Neutral,46.96,-0.86,,
2026-04-09,IOC,	Indian Oil Corp. Ltd.,141.67,22052191,Neutral,Neutral,Neutral,43.96,2.58,,
2026-04-10,IOC,	Indian Oil Corp. Ltd.,142.96,13681094,Neutral,Neutral,Neutral,46.77,3.07,,
2026-04-13,IOC,	Indian Oil Corp. Ltd.,141.08,21941388,Neutral,Neutral,Neutral,43.36,0.4,,
2026-04-15,IOC,	Indian Oil Corp. Ltd.,145.22,16020870,Buy,Neutral,Neutral,51.71,5.42,,45.48
2026-04-16,IOC,	Indian Oil Corp. Ltd.,144.19,13154143,Buy,Neutral,Neutral,49.75,6.49,,58.8
2026-04-17,IOC,	Indian Oil Corp. Ltd.,145.88,11855228,Buy,Neutral,Neutral,52.91,7.49,,75.92
2026-04-20,IOC,	Indian Oil Corp. Ltd.,146.87,14174808,Buy,Neutral,Neutral,54.71,9.5,,98.32
2026-04-21,IOC,	Indian Oil Corp. Ltd.,147.31,8952350,Buy,Neutral,Sell,55.52,9.89,,120.51
2026-04-22,IOC,	Indian Oil Corp. Ltd.,147.36,7680576,Buy,Neutral,Sell,55.62,9.61,,105.05
2026-04-23,IOC,	Indian Oil Corp. Ltd.,145.48,11146793,Neutral,Neutral,Neutral,51.08,1.49,,84.27
2026-04-24,IOC,	Indian Oil Corp. Ltd.,143.47,8204012,Neutral,Neutral,Neutral,46.7,1.27,,45.83
2026-04-27,IOC,	Indian Oil Corp. Ltd.,146.26,8409968,Neutral,Neutral,Neutral,52.76,2.31,,65.57
2026-04-28,IOC,	Indian Oil Corp. Ltd.,145.39,11294936,Neutral,Neutral,Neutral,50.82,3.06,,56.85
2026-04-29,IOC,	Indian Oil Corp. Ltd.,,12564391,Neutral,Neutral,Neutral,50.82,,,
