Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,527.6,2008646,Neutral,Neutral,Neutral,,,,
2026-03-16,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,526.45,1857687,Neutral,Neutral,Neutral,,,,
2026-03-17,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,526.95,1317273,Neutral,Neutral,Neutral,,,,
2026-03-18,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,540.25,2207154,Neutral,Neutral,Neutral,,,,
2026-03-19,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,525.85,978842,Neutral,Neutral,Neutral,,,,
2026-03-20,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,522.85,1740070,Neutral,Neutral,Neutral,,,,
2026-03-23,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,510.3,2589941,Neutral,Neutral,Neutral,,,,
2026-03-24,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,515.15,1739708,Neutral,Neutral,Neutral,,,,
2026-03-25,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,523.75,1506234,Neutral,Neutral,Neutral,,,,
2026-03-27,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,510.6,1982969,Neutral,Neutral,Neutral,,,,
2026-03-30,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,494.5,2653568,Sell,Neutral,Neutral,,-6.27,,
2026-04-01,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,511.2,1664955,Neutral,Neutral,Neutral,,-2.9,,
2026-04-02,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,511.8,1050731,Neutral,Neutral,Neutral,,-2.88,,
2026-04-06,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,514.7,1154102,Neutral,Neutral,Neutral,45.76,-4.73,,
2026-04-07,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,516.2,881493,Neutral,Neutral,Neutral,46.94,-1.84,,
2026-04-08,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,536.5,1709944,Neutral,Neutral,Neutral,59.65,2.61,,
2026-04-09,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,531.55,1219166,Neutral,Neutral,Neutral,56.12,4.16,,
2026-04-10,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,542.3,1242295,Neutral,Neutral,Neutral,61.45,5.27,,
2026-04-13,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,537.9,1066402,Neutral,Neutral,Neutral,58.33,2.7,,
2026-04-15,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,553.55,1978086,Neutral,Neutral,Sell,65.12,8.41,,181.06
2026-04-16,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,553.8,1415200,Neutral,Neutral,Sell,65.22,11.99,,172.42
2026-04-17,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,564.9,1873250,Neutral,Neutral,Sell,69.32,10.5,,175.64
2026-04-20,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,565.2,1805082,Neutral,Neutral,Sell,69.43,10.43,,145.06
2026-04-21,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,561.2,1221915,Neutral,Neutral,Sell,66.18,9.03,,134.04
2026-04-22,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,558.55,892060,Neutral,Neutral,Neutral,64.04,8.2,,98.93
2026-04-23,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,551.35,822626,Neutral,Neutral,Neutral,58.5,2.77,,71.73
2026-04-24,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,541.2,944945,Neutral,Neutral,Neutral,51.71,1.82,,39.7
2026-04-27,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,545.1,1281855,Neutral,Neutral,Neutral,53.93,0.52,,30.8
2026-04-28,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,543.85,1573071,Neutral,Neutral,Neutral,53.09,1.11,,35.39
2026-04-29,IRCTC,	Indian Railway Catering & Tourism Corp. Ltd.,,1348645,Neutral,Neutral,Neutral,53.09,,,
