Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,ITC,	ITC Limited,301.45,25659996,Neutral,Neutral,Neutral,,,,
2026-03-16,ITC,	ITC Limited,308.25,37472204,Neutral,Neutral,Neutral,,,,
2026-03-17,ITC,	ITC Limited,304.85,25649286,Neutral,Neutral,Neutral,,,,
2026-03-18,ITC,	ITC Limited,304.05,16702554,Neutral,Neutral,Neutral,,,,
2026-03-19,ITC,	ITC Limited,298.0,17851126,Neutral,Neutral,Neutral,,,,
2026-03-20,ITC,	ITC Limited,299.95,58679529,Neutral,Neutral,Neutral,,,,
2026-03-23,ITC,	ITC Limited,290.45,31788160,Neutral,Neutral,Neutral,,,,
2026-03-24,ITC,	ITC Limited,291.25,33335721,Neutral,Neutral,Neutral,,,,
2026-03-25,ITC,	ITC Limited,295.7,26184716,Neutral,Neutral,Neutral,,,,
2026-03-27,ITC,	ITC Limited,294.7,22179022,Neutral,Neutral,Neutral,,,,
2026-03-30,ITC,	ITC Limited,287.7,24586921,Neutral,Neutral,Neutral,,-4.56,,
2026-04-01,ITC,	ITC Limited,291.7,18604340,Sell,Neutral,Neutral,,-5.37,,
2026-04-02,ITC,	ITC Limited,292.85,18082775,Neutral,Neutral,Neutral,,-3.94,,
2026-04-06,ITC,	ITC Limited,294.85,18047063,Neutral,Neutral,Neutral,45.12,-3.03,,
2026-04-07,ITC,	ITC Limited,298.45,26963485,Neutral,Neutral,Neutral,51.23,0.15,,
2026-04-08,ITC,	ITC Limited,302.45,22310207,Neutral,Neutral,Neutral,56.96,0.83,,
2026-04-09,ITC,	ITC Limited,303.0,17691477,Neutral,Neutral,Neutral,57.7,4.32,,
2026-04-10,ITC,	ITC Limited,304.25,17744386,Neutral,Neutral,Neutral,59.39,4.46,,
2026-04-13,ITC,	ITC Limited,298.65,16522014,Neutral,Neutral,Neutral,49.75,1.0,,
2026-04-15,ITC,	ITC Limited,302.05,18701403,Neutral,Neutral,Neutral,54.57,2.49,,48.14
2026-04-16,ITC,	ITC Limited,303.4,16512053,Buy,Neutral,Neutral,56.36,5.46,,65.18
2026-04-17,ITC,	ITC Limited,306.8,35111203,Neutral,Neutral,Sell,60.58,5.18,,109.58
2026-04-20,ITC,	ITC Limited,305.0,13540471,Neutral,Neutral,Neutral,57.42,4.15,,96.0
2026-04-21,ITC,	ITC Limited,309.65,24411865,Neutral,Neutral,Sell,62.82,5.02,,125.0
2026-04-22,ITC,	ITC Limited,305.5,24500511,Neutral,Neutral,Neutral,55.99,2.36,,96.62
2026-04-23,ITC,	ITC Limited,305.3,10701849,Neutral,Neutral,Neutral,55.68,0.94,,67.78
2026-04-24,ITC,	ITC Limited,301.6,17011704,Neutral,Neutral,Neutral,50.09,-0.46,,40.75
2026-04-27,ITC,	ITC Limited,303.85,14382348,Neutral,Neutral,Neutral,53.17,-0.13,,48.38
2026-04-28,ITC,	ITC Limited,304.45,12907339,Neutral,Neutral,Neutral,53.98,1.94,,46.3
2026-04-29,ITC,	ITC Limited,,31185372,Neutral,Neutral,Neutral,53.98,,,
