Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,JIOFIN,	Jio Financial Services Limited,235.25,13328240,Neutral,Neutral,Neutral,,,,
2026-03-16,JIOFIN,	Jio Financial Services Limited,234.35,14936660,Neutral,Neutral,Neutral,,,,
2026-03-17,JIOFIN,	Jio Financial Services Limited,237.6,10638090,Neutral,Neutral,Neutral,,,,
2026-03-18,JIOFIN,	Jio Financial Services Limited,248.2,19579980,Neutral,Neutral,Neutral,,,,
2026-03-19,JIOFIN,	Jio Financial Services Limited,239.45,15046010,Neutral,Neutral,Neutral,,,,
2026-03-20,JIOFIN,	Jio Financial Services Limited,239.3,15021100,Neutral,Neutral,Neutral,,,,
2026-03-23,JIOFIN,	Jio Financial Services Limited,226.1,21172060,Neutral,Neutral,Neutral,,,,
2026-03-24,JIOFIN,	Jio Financial Services Limited,232.7,16119860,Neutral,Neutral,Neutral,,,,
2026-03-25,JIOFIN,	Jio Financial Services Limited,237.35,15684540,Neutral,Neutral,Neutral,,,,
2026-03-27,JIOFIN,	Jio Financial Services Limited,232.55,19784230,Neutral,Neutral,Neutral,,,,
2026-03-30,JIOFIN,	Jio Financial Services Limited,224.1,25943390,Neutral,Neutral,Neutral,,-4.74,,
2026-04-01,JIOFIN,	Jio Financial Services Limited,231.93,21603790,Neutral,Neutral,Neutral,,-1.03,,
2026-04-02,JIOFIN,	Jio Financial Services Limited,229.48,18541630,Neutral,Neutral,Neutral,,-3.42,,
2026-04-06,JIOFIN,	Jio Financial Services Limited,235.31,16036370,Sell,Neutral,Neutral,51.06,-5.19,,
2026-04-07,JIOFIN,	Jio Financial Services Limited,235.33,13783440,Neutral,Neutral,Neutral,51.08,-1.72,,
2026-04-08,JIOFIN,	Jio Financial Services Limited,246.86,19911970,Sell,Neutral,Neutral,61.1,3.16,,
2026-04-09,JIOFIN,	Jio Financial Services Limited,238.84,21124620,Buy,Neutral,Neutral,52.97,5.63,,
2026-04-10,JIOFIN,	Jio Financial Services Limited,243.2,12039950,Neutral,Neutral,Neutral,56.37,4.51,,
2026-04-13,JIOFIN,	Jio Financial Services Limited,237.68,15386120,Neutral,Neutral,Neutral,51.32,0.14,,
2026-04-15,JIOFIN,	Jio Financial Services Limited,242.66,20476590,Neutral,Neutral,Neutral,55.22,4.35,,92.07
2026-04-16,JIOFIN,	Jio Financial Services Limited,241.27,26180400,Buy,Neutral,Neutral,53.92,7.66,,66.04
2026-04-17,JIOFIN,	Jio Financial Services Limited,243.86,51452520,Buy,Neutral,Neutral,55.99,5.14,,83.31
2026-04-20,JIOFIN,	Jio Financial Services Limited,237.15,38415130,Neutral,Neutral,Neutral,49.74,3.34,,10.48
2026-04-21,JIOFIN,	Jio Financial Services Limited,234.75,46344610,Neutral,Neutral,Neutral,47.69,-0.24,,-15.45
2026-04-22,JIOFIN,	Jio Financial Services Limited,238.51,40251820,Neutral,Neutral,Neutral,51.09,1.35,,23.08
2026-04-23,JIOFIN,	Jio Financial Services Limited,248.66,74432270,Neutral,Neutral,Sell,58.87,0.73,,130.0
2026-04-24,JIOFIN,	Jio Financial Services Limited,245.73,32701720,Neutral,Neutral,Sell,56.1,2.88,,134.91
2026-04-27,JIOFIN,	Jio Financial Services Limited,253.64,25870370,Sell,Neutral,Sell,61.39,4.29,,162.44
2026-04-28,JIOFIN,	Jio Financial Services Limited,250.81,21934240,Buy,Neutral,Sell,58.66,5.52,,141.21
2026-04-29,JIOFIN,	Jio Financial Services Limited,250.71,22455880,Neutral,Neutral,Sell,58.57,3.32,,129.95
