Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,LT,	Larsen & Toubro Limited,3439.0,10778730,Neutral,Neutral,Neutral,,,,
2026-03-16,LT,	Larsen & Toubro Limited,3469.4,8459233,Neutral,Neutral,Neutral,,,,
2026-03-17,LT,	Larsen & Toubro Limited,3542.8,5003418,Neutral,Neutral,Neutral,,,,
2026-03-18,LT,	Larsen & Toubro Limited,3607.9,4190485,Neutral,Neutral,Neutral,,,,
2026-03-19,LT,	Larsen & Toubro Limited,3434.5,4898518,Neutral,Neutral,Neutral,,,,
2026-03-20,LT,	Larsen & Toubro Limited,3434.8,4743217,Neutral,Neutral,Neutral,,,,
2026-03-23,LT,	Larsen & Toubro Limited,3342.4,5645839,Neutral,Neutral,Neutral,,,,
2026-03-24,LT,	Larsen & Toubro Limited,3516.8,6037848,Neutral,Neutral,Neutral,,,,
2026-03-25,LT,	Larsen & Toubro Limited,3649.3,5090205,Neutral,Neutral,Neutral,,,,
2026-03-27,LT,	Larsen & Toubro Limited,3564.1,3991388,Neutral,Neutral,Neutral,,,,
2026-03-30,LT,	Larsen & Toubro Limited,3504.1,3549203,Neutral,Neutral,Neutral,,1.89,,
2026-04-01,LT,	Larsen & Toubro Limited,3607.5,4099786,Neutral,Neutral,Neutral,,3.98,,
2026-04-02,LT,	Larsen & Toubro Limited,3613.1,4121638,Neutral,Neutral,Neutral,,1.98,,
2026-04-06,LT,	Larsen & Toubro Limited,3727.7,3353246,Sell,Neutral,Neutral,65.66,3.32,,
2026-04-07,LT,	Larsen & Toubro Limited,3723.3,3083714,Neutral,Neutral,Neutral,65.25,8.41,,
2026-04-08,LT,	Larsen & Toubro Limited,4005.9,7368477,Sell,Neutral,Sell,75.83,16.63,,
2026-04-09,LT,	Larsen & Toubro Limited,3896.2,4415151,Neutral,Neutral,Neutral,67.27,16.57,,
2026-04-10,LT,	Larsen & Toubro Limited,3959.9,2822017,Neutral,Neutral,Neutral,69.43,12.6,,
2026-04-13,LT,	Larsen & Toubro Limited,3954.3,4897563,Neutral,Neutral,Neutral,69.0,8.36,,
2026-04-15,LT,	Larsen & Toubro Limited,4076.3,4562142,Sell,Neutral,Sell,72.94,14.37,,166.56
2026-04-16,LT,	Larsen & Toubro Limited,4119.8,5092608,Sell,Neutral,Sell,74.2,17.57,,153.09
2026-04-17,LT,	Larsen & Toubro Limited,4096.1,2796673,Sell,Neutral,Sell,72.22,13.54,,125.39
2026-04-20,LT,	Larsen & Toubro Limited,4051.0,3545024,Neutral,Neutral,Neutral,68.49,12.12,,98.76
2026-04-21,LT,	Larsen & Toubro Limited,4075.4,2426718,Neutral,Neutral,Neutral,69.41,9.33,,86.61
2026-04-22,LT,	Larsen & Toubro Limited,4021.1,2178082,Neutral,Neutral,Neutral,64.87,8.0,,69.66
2026-04-23,LT,	Larsen & Toubro Limited,4054.1,2229134,Sell,Neutral,Neutral,66.31,1.2,,62.92
2026-04-24,LT,	Larsen & Toubro Limited,4014.3,2162213,Sell,Neutral,Neutral,62.96,3.03,,56.79
2026-04-27,LT,	Larsen & Toubro Limited,4053.6,2000348,Sell,Neutral,Neutral,64.85,2.37,,62.11
2026-04-28,LT,	Larsen & Toubro Limited,4037.7,1750237,Sell,Neutral,Neutral,63.44,2.11,,55.63
2026-04-29,LT,	Larsen & Toubro Limited,,2174700,Sell,Neutral,Neutral,63.44,,,
