Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,OIL,	Oil India Limited,470.55,4296456,Neutral,Neutral,Neutral,,,,
2026-03-16,OIL,	Oil India Limited,460.1,4235090,Neutral,Neutral,Neutral,,,,
2026-03-17,OIL,	Oil India Limited,473.75,3362643,Neutral,Neutral,Neutral,,,,
2026-03-18,OIL,	Oil India Limited,470.45,2642495,Neutral,Neutral,Neutral,,,,
2026-03-19,OIL,	Oil India Limited,477.05,7842725,Neutral,Neutral,Neutral,,,,
2026-03-20,OIL,	Oil India Limited,475.5,4106460,Neutral,Neutral,Neutral,,,,
2026-03-23,OIL,	Oil India Limited,464.65,3239580,Neutral,Neutral,Neutral,,,,
2026-03-24,OIL,	Oil India Limited,477.95,3724100,Neutral,Neutral,Neutral,,,,
2026-03-25,OIL,	Oil India Limited,471.4,4996363,Neutral,Neutral,Neutral,,,,
2026-03-27,OIL,	Oil India Limited,478.0,9323712,Neutral,Neutral,Neutral,,,,
2026-03-30,OIL,	Oil India Limited,475.45,6521652,Neutral,Neutral,Neutral,,1.04,,
2026-04-01,OIL,	Oil India Limited,473.4,3482577,Neutral,Neutral,Neutral,,2.89,,
2026-04-02,OIL,	Oil India Limited,480.15,5921901,Neutral,Neutral,Neutral,,1.35,,
2026-04-06,OIL,	Oil India Limited,472.2,3159564,Neutral,Neutral,Neutral,49.71,0.37,,
2026-04-07,OIL,	Oil India Limited,481.9,6217264,Neutral,Neutral,Neutral,57.32,1.02,,
2026-04-08,OIL,	Oil India Limited,458.95,16422905,Neutral,Neutral,Neutral,41.37,-3.48,,
2026-04-09,OIL,	Oil India Limited,470.75,10892953,Neutral,Neutral,Neutral,49.2,1.31,,
2026-04-10,OIL,	Oil India Limited,471.3,2352183,Neutral,Neutral,Neutral,49.54,-1.39,,
2026-04-13,OIL,	Oil India Limited,477.15,7253346,Neutral,Neutral,Neutral,53.11,1.22,,
2026-04-15,OIL,	Oil India Limited,463.25,7533552,Neutral,Neutral,Buy,44.96,-3.09,,-102.77
2026-04-16,OIL,	Oil India Limited,462.4,3612628,Neutral,Neutral,Buy,44.51,-2.74,,-125.43
2026-04-17,OIL,	Oil India Limited,470.1,3551921,Neutral,Neutral,Neutral,49.45,-0.7,,-69.54
2026-04-20,OIL,	Oil India Limited,471.7,3431487,Neutral,Neutral,Neutral,50.43,-1.76,,-20.11
2026-04-21,OIL,	Oil India Limited,465.15,2658587,Neutral,Neutral,Neutral,46.44,-1.49,,-70.89
2026-04-22,OIL,	Oil India Limited,469.75,5819012,Neutral,Neutral,Neutral,49.47,-2.52,,-62.55
2026-04-23,OIL,	Oil India Limited,473.9,4874766,Neutral,Neutral,Neutral,52.1,3.26,,56.16
2026-04-24,OIL,	Oil India Limited,473.7,5542670,Neutral,Neutral,Neutral,51.96,0.63,,67.41
2026-04-27,OIL,	Oil India Limited,476.2,2981521,Neutral,Neutral,Neutral,53.64,1.04,,44.67
2026-04-28,OIL,	Oil India Limited,497.2,10897762,Sell,Neutral,Sell,64.79,4.2,,241.99
2026-04-29,OIL,	Oil India Limited,,4349739,Sell,Neutral,Neutral,64.79,,,
