Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,PFC,	Power Finance Corporation Limited,402.41,11202358,Neutral,Neutral,Neutral,,,,
2026-03-16,PFC,	Power Finance Corporation Limited,403.05,6317752,Neutral,Neutral,Neutral,,,,
2026-03-17,PFC,	Power Finance Corporation Limited,414.76,8563553,Neutral,Neutral,Neutral,,,,
2026-03-18,PFC,	Power Finance Corporation Limited,428.85,15012423,Neutral,Neutral,Neutral,,,,
2026-03-19,PFC,	Power Finance Corporation Limited,408.61,6730692,Neutral,Neutral,Neutral,,,,
2026-03-20,PFC,	Power Finance Corporation Limited,409.6,12199222,Neutral,Neutral,Neutral,,,,
2026-03-23,PFC,	Power Finance Corporation Limited,398.0,10830695,Neutral,Neutral,Neutral,,,,
2026-03-24,PFC,	Power Finance Corporation Limited,398.75,12403753,Neutral,Neutral,Neutral,,,,
2026-03-25,PFC,	Power Finance Corporation Limited,403.45,9329612,Neutral,Neutral,Neutral,,,,
2026-03-27,PFC,	Power Finance Corporation Limited,396.0,9033117,Neutral,Neutral,Neutral,,,,
2026-03-30,PFC,	Power Finance Corporation Limited,379.5,9142669,Sell,Neutral,Neutral,,-5.69,,
2026-04-01,PFC,	Power Finance Corporation Limited,397.7,10351420,Neutral,Neutral,Neutral,,-1.33,,
2026-04-02,PFC,	Power Finance Corporation Limited,402.25,9147188,Neutral,Neutral,Neutral,,-3.02,,
2026-04-06,PFC,	Power Finance Corporation Limited,405.9,7162794,Sell,Neutral,Neutral,52.6,-5.35,,
2026-04-07,PFC,	Power Finance Corporation Limited,407.4,5054496,Neutral,Neutral,Neutral,53.59,-0.3,,
2026-04-08,PFC,	Power Finance Corporation Limited,417.65,14645774,Neutral,Neutral,Neutral,59.75,1.97,,
2026-04-09,PFC,	Power Finance Corporation Limited,428.05,11760659,Neutral,Neutral,Neutral,64.85,7.55,,
2026-04-10,PFC,	Power Finance Corporation Limited,434.9,10459717,Neutral,Neutral,Neutral,67.75,9.07,,
2026-04-13,PFC,	Power Finance Corporation Limited,433.55,8965276,Neutral,Neutral,Neutral,66.58,7.46,,
2026-04-15,PFC,	Power Finance Corporation Limited,444.75,13577979,Sell,Neutral,Sell,71.03,12.31,,180.24
2026-04-16,PFC,	Power Finance Corporation Limited,458.9,23065922,Sell,Neutral,Sell,75.48,20.92,,205.16
2026-04-17,PFC,	Power Finance Corporation Limited,464.85,10255394,Sell,Neutral,Sell,77.07,16.88,,184.18
2026-04-20,PFC,	Power Finance Corporation Limited,472.85,10992233,Sell,Neutral,Sell,79.04,17.55,,168.79
2026-04-21,PFC,	Power Finance Corporation Limited,471.1,5478143,Sell,Neutral,Sell,77.47,16.06,,155.11
2026-04-22,PFC,	Power Finance Corporation Limited,470.3,5219754,Sell,Neutral,Sell,76.72,15.44,,128.1
2026-04-23,PFC,	Power Finance Corporation Limited,469.8,6711033,Sell,Neutral,Sell,76.23,12.49,,106.22
2026-04-24,PFC,	Power Finance Corporation Limited,469.35,8149142,Sell,Neutral,Sell,75.75,9.65,,90.8
2026-04-27,PFC,	Power Finance Corporation Limited,474.9,6021520,Sell,Neutral,Sell,77.6,9.2,,96.28
2026-04-28,PFC,	Power Finance Corporation Limited,481.4,10746434,Sell,Neutral,Sell,79.57,11.04,,95.66
2026-04-29,PFC,	Power Finance Corporation Limited,,10924352,Strong Sell,Neutral,Sell,79.57,,,
