Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,RELIANCE,Reliance Industries Ltd,1380.7,17265090,Neutral,Neutral,Neutral,,,,
2026-03-16,RELIANCE,Reliance Industries Ltd,1395.1,22837802,Neutral,Neutral,Neutral,,,,
2026-03-17,RELIANCE,Reliance Industries Ltd,1397.6,19007744,Neutral,Neutral,Neutral,,,,
2026-03-18,RELIANCE,Reliance Industries Ltd,1408.1,9559327,Neutral,Neutral,Neutral,,,,
2026-03-19,RELIANCE,Reliance Industries Ltd,1384.8,16498373,Neutral,Neutral,Neutral,,,,
2026-03-20,RELIANCE,Reliance Industries Ltd,1414.4,22994918,Neutral,Neutral,Neutral,,,,
2026-03-23,RELIANCE,Reliance Industries Ltd,1407.8,18979554,Neutral,Neutral,Neutral,,,,
2026-03-24,RELIANCE,Reliance Industries Ltd,1411.8,18620893,Neutral,Neutral,Neutral,,,,
2026-03-25,RELIANCE,Reliance Industries Ltd,1413.1,19041331,Neutral,Neutral,Neutral,,,,
2026-03-27,RELIANCE,Reliance Industries Ltd,1348.1,23266517,Neutral,Neutral,Neutral,,,,
2026-03-30,RELIANCE,Reliance Industries Ltd,1343.9,24393861,Neutral,Neutral,Neutral,,-2.67,,
2026-04-01,RELIANCE,Reliance Industries Ltd,1369.2,14404619,Neutral,Neutral,Neutral,,-1.86,,
2026-04-02,RELIANCE,Reliance Industries Ltd,1350.5,21280051,Neutral,Neutral,Neutral,,-3.37,,
2026-04-06,RELIANCE,Reliance Industries Ltd,1304.7,29274881,Buy,Neutral,Buy,29.1,-7.34,,
2026-04-07,RELIANCE,Reliance Industries Ltd,1304.6,28388922,Buy,Neutral,Buy,29.09,-5.79,,
2026-04-08,RELIANCE,Reliance Industries Ltd,1347.8,21817543,Neutral,Neutral,Neutral,44.23,-4.71,,
2026-04-09,RELIANCE,Reliance Industries Ltd,1330.0,20725390,Sell,Neutral,Neutral,40.4,-5.53,,
2026-04-10,RELIANCE,Reliance Industries Ltd,1350.2,19364461,Neutral,Neutral,Neutral,46.1,-4.36,,
2026-04-13,RELIANCE,Reliance Industries Ltd,1315.1,28753269,Neutral,Neutral,Neutral,39.1,-6.94,,
2026-04-15,RELIANCE,Reliance Industries Ltd,1344.1,15313779,Neutral,Neutral,Neutral,46.35,-0.3,,-54.31
2026-04-16,RELIANCE,Reliance Industries Ltd,1343.3,30211012,Neutral,Neutral,Neutral,46.19,-0.04,,-48.13
2026-04-17,RELIANCE,Reliance Industries Ltd,1365.0,13869105,Neutral,Neutral,Neutral,51.21,-0.31,,-13.01
2026-04-20,RELIANCE,Reliance Industries Ltd,1363.3,13614733,Neutral,Neutral,Neutral,50.81,0.95,,2.13
2026-04-21,RELIANCE,Reliance Industries Ltd,1353.3,27293629,Neutral,Neutral,Neutral,48.41,3.73,,-4.93
2026-04-22,RELIANCE,Reliance Industries Ltd,1362.1,9525953,Neutral,Neutral,Neutral,50.62,4.41,,2.8
2026-04-23,RELIANCE,Reliance Industries Ltd,1343.4,16385079,Neutral,Neutral,Neutral,46.11,-0.33,,-24.79
2026-04-24,RELIANCE,Reliance Industries Ltd,1327.8,11744802,Neutral,Neutral,Neutral,42.69,-0.17,,-61.28
2026-04-27,RELIANCE,Reliance Industries Ltd,1365.8,24673098,Neutral,Neutral,Neutral,52.02,1.16,,6.61
2026-04-28,RELIANCE,Reliance Industries Ltd,1388.9,41027699,Buy,Neutral,Sell,56.64,5.61,,164.19
2026-04-29,RELIANCE,Reliance Industries Ltd,,30538735,Neutral,Neutral,Neutral,56.64,,,
