Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,SBIN,	State Bank of India,1047.0,15978675,Neutral,Neutral,Neutral,,,,
2026-03-16,SBIN,	State Bank of India,1066.7,15322269,Neutral,Neutral,Neutral,,,,
2026-03-17,SBIN,	State Bank of India,1064.7,16427877,Neutral,Neutral,Neutral,,,,
2026-03-18,SBIN,	State Bank of India,1069.8,10749915,Neutral,Neutral,Neutral,,,,
2026-03-19,SBIN,	State Bank of India,1048.9,13431191,Neutral,Neutral,Neutral,,,,
2026-03-20,SBIN,	State Bank of India,1058.0,17748625,Neutral,Neutral,Neutral,,,,
2026-03-23,SBIN,	State Bank of India,1031.9,16039603,Neutral,Neutral,Neutral,,,,
2026-03-24,SBIN,	State Bank of India,1030.8,30416734,Neutral,Neutral,Neutral,,,,
2026-03-25,SBIN,	State Bank of India,1060.6,16205333,Neutral,Neutral,Neutral,,,,
2026-03-27,SBIN,	State Bank of India,1019.5,20445349,Neutral,Neutral,Neutral,,,,
2026-03-30,SBIN,	State Bank of India,979.4,21438137,Sell,Neutral,Neutral,,-6.46,,
2026-04-01,SBIN,	State Bank of India,1017.8,17424479,Neutral,Neutral,Neutral,,-4.58,,
2026-04-02,SBIN,	State Bank of India,1018.4,20777629,Neutral,Neutral,Neutral,,-4.35,,
2026-04-06,SBIN,	State Bank of India,1032.75,23576634,Neutral,Neutral,Neutral,48.18,-3.46,,
2026-04-07,SBIN,	State Bank of India,1030.4,15021291,Neutral,Neutral,Neutral,47.49,-1.76,,
2026-04-08,SBIN,	State Bank of India,1061.45,28533742,Neutral,Neutral,Neutral,56.36,0.33,,
2026-04-09,SBIN,	State Bank of India,1040.95,24772948,Neutral,Neutral,Neutral,50.32,0.88,,
2026-04-10,SBIN,	State Bank of India,1066.7,17861336,Neutral,Neutral,Neutral,56.61,3.48,,
2026-04-13,SBIN,	State Bank of India,1063.55,17763348,Neutral,Neutral,Neutral,55.68,0.28,,
2026-04-15,SBIN,	State Bank of India,1071.5,16195810,Buy,Neutral,Sell,57.57,5.1,,109.4
2026-04-16,SBIN,	State Bank of India,1067.15,20313165,Buy,Neutral,Neutral,56.16,8.96,,87.92
2026-04-17,SBIN,	State Bank of India,1080.25,16823879,Buy,Neutral,Neutral,59.39,6.14,,92.56
2026-04-20,SBIN,	State Bank of India,1107.85,31179584,Neutral,Neutral,Sell,65.21,8.78,,162.27
2026-04-21,SBIN,	State Bank of India,1111.85,16963734,Neutral,Neutral,Sell,65.97,7.66,,169.73
2026-04-22,SBIN,	State Bank of India,1103.3,12412659,Neutral,Neutral,Sell,62.81,7.07,,136.74
2026-04-23,SBIN,	State Bank of India,1094.25,13669001,Neutral,Neutral,Neutral,59.55,3.09,,93.22
2026-04-24,SBIN,	State Bank of India,1101.1,13774745,Neutral,Neutral,Neutral,61.19,5.78,,97.08
2026-04-27,SBIN,	State Bank of India,1111.85,11624385,Sell,Neutral,Sell,63.68,4.23,,109.24
2026-04-28,SBIN,	State Bank of India,1091.3,10727835,Neutral,Neutral,Neutral,56.26,2.61,,72.42
2026-04-29,SBIN,	State Bank of India,,10610852,Neutral,Neutral,Neutral,56.26,,,
