Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-31,TATAMOTORS,	Tata Motors Limited,103.25,6875193,Sell,Sell,Buy,35.88,0.53,-6.11,82.44
2026-04-01,TATAMOTORS,	Tata Motors Limited,100.74,2086155,Strong Buy,Neutral,Sell,31.6,-1.52,-5.32,-189.15
2026-04-02,TATAMOTORS,	Tata Motors Limited,91.07,3368186,Buy,Neutral,Strong Buy,55.24,-3.91,6.99,-44.32
2026-04-03,TATAMOTORS,	Tata Motors Limited,94.18,7094094,Buy,Buy,Neutral,41.66,-3.58,-9.97,-1.8
2026-04-04,TATAMOTORS,	Tata Motors Limited,98.73,7660340,Neutral,Neutral,Strong Buy,46.6,1.45,9.9,-194.06
2026-04-05,TATAMOTORS,	Tata Motors Limited,104.87,3456423,Buy,Buy,Neutral,62.16,-2.73,-8.98,99.33
2026-04-06,TATAMOTORS,	Tata Motors Limited,92.16,2654766,Strong Buy,Neutral,Neutral,32.97,-0.28,5.03,-161.27
2026-04-07,TATAMOTORS,	Tata Motors Limited,99.82,6588658,Strong Sell,Neutral,Strong Buy,44.36,3.29,-6.26,31.98
2026-04-08,TATAMOTORS,	Tata Motors Limited,104.21,1906770,Buy,Buy,Sell,67.54,-1.43,-4.03,180.7
2026-04-09,TATAMOTORS,	Tata Motors Limited,104.24,6300974,Sell,Strong Buy,Neutral,59.21,-1.5,1.67,160.92
2026-04-10,TATAMOTORS,	Tata Motors Limited,101.5,4363211,Buy,Sell,Buy,66.14,-4.07,-3.98,141.6
2026-04-11,TATAMOTORS,	Tata Motors Limited,94.08,4571742,Buy,Buy,Buy,49.21,0.29,-5.5,-112.84
2026-04-12,TATAMOTORS,	Tata Motors Limited,108.85,2707388,Buy,Sell,Buy,55.26,3.8,6.86,159.9
2026-04-13,TATAMOTORS,	Tata Motors Limited,97.45,4954681,Strong Buy,Neutral,Neutral,45.98,2.13,3.34,-148.51
2026-04-14,TATAMOTORS,	Tata Motors Limited,97.76,9123632,Neutral,Neutral,Sell,36.87,2.59,-3.89,-167.65
2026-04-15,TATAMOTORS,	Tata Motors Limited,103.93,8314377,Neutral,Neutral,Buy,62.3,2.66,2.01,68.65
2026-04-16,TATAMOTORS,	Tata Motors Limited,100.25,5745129,Strong Sell,Sell,Buy,36.79,1.83,-4.64,28.34
2026-04-17,TATAMOTORS,	Tata Motors Limited,94.11,6416221,Neutral,Buy,Buy,64.34,1.32,7.2,102.22
2026-04-18,TATAMOTORS,	Tata Motors Limited,96.76,5507870,Strong Buy,Sell,Strong Sell,50.2,2.73,-2.75,141.3
2026-04-19,TATAMOTORS,	Tata Motors Limited,105.7,7830711,Neutral,Sell,Strong Sell,66.48,1.22,4.2,-125.3
2026-04-20,TATAMOTORS,	Tata Motors Limited,103.31,6217767,Strong Buy,Buy,Neutral,63.4,1.59,7.57,197.43
2026-04-21,TATAMOTORS,	Tata Motors Limited,98.06,1384849,Strong Sell,Buy,Buy,56.09,1.77,-5.56,127.1
2026-04-22,TATAMOTORS,	Tata Motors Limited,90.48,8239392,Buy,Strong Sell,Buy,31.13,3.8,-2.79,-98.65
2026-04-23,TATAMOTORS,	Tata Motors Limited,107.76,6116686,Neutral,Buy,Sell,38.97,-2.47,-9.1,64.53
2026-04-24,TATAMOTORS,	Tata Motors Limited,108.42,2618959,Buy,Buy,Sell,68.39,3.27,6.79,128.75
2026-04-25,TATAMOTORS,	Tata Motors Limited,93.95,7541940,Neutral,Neutral,Strong Buy,61.52,-3.12,6.13,-29.95
2026-04-26,TATAMOTORS,	Tata Motors Limited,104.26,4336574,Strong Buy,Neutral,Strong Buy,37.35,4.56,3.56,5.82
2026-04-27,TATAMOTORS,	Tata Motors Limited,90.68,2932954,Neutral,Sell,Strong Buy,30.07,-1.95,-1.75,-187.32
2026-04-28,TATAMOTORS,	Tata Motors Limited,108.93,2620331,Strong Buy,Buy,Buy,30.69,4.75,0.13,95.91
2026-04-29,TATAMOTORS,	Tata Motors Limited,93.86,6779435,Buy,Buy,Neutral,45.45,2.69,8.37,-86.69
