Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,TATASTEEL,	Tata Steel Limited,183.51,42683952,Neutral,Neutral,Neutral,,,,
2026-03-16,TATASTEEL,	Tata Steel Limited,186.94,44789516,Neutral,Neutral,Neutral,,,,
2026-03-17,TATASTEEL,	Tata Steel Limited,195.43,45672442,Neutral,Neutral,Neutral,,,,
2026-03-18,TATASTEEL,	Tata Steel Limited,195.41,26353743,Neutral,Neutral,Neutral,,,,
2026-03-19,TATASTEEL,	Tata Steel Limited,190.51,24146344,Neutral,Neutral,Neutral,,,,
2026-03-20,TATASTEEL,	Tata Steel Limited,196.77,46881257,Neutral,Neutral,Neutral,,,,
2026-03-23,TATASTEEL,	Tata Steel Limited,187.17,44393392,Neutral,Neutral,Neutral,,,,
2026-03-24,TATASTEEL,	Tata Steel Limited,190.79,34321983,Neutral,Neutral,Neutral,,,,
2026-03-25,TATASTEEL,	Tata Steel Limited,196.65,34767360,Neutral,Neutral,Neutral,,,,
2026-03-27,TATASTEEL,	Tata Steel Limited,193.22,36938046,Neutral,Neutral,Neutral,,,,
2026-03-30,TATASTEEL,	Tata Steel Limited,191.86,45914996,Neutral,Neutral,Neutral,,4.55,,
2026-04-01,TATASTEEL,	Tata Steel Limited,194.6,35813622,Neutral,Neutral,Neutral,,4.1,,
2026-04-02,TATASTEEL,	Tata Steel Limited,194.14,27633959,Neutral,Neutral,Neutral,,-0.66,,
2026-04-06,TATASTEEL,	Tata Steel Limited,196.1,28115748,Sell,Neutral,Neutral,61.09,0.35,,
2026-04-07,TATASTEEL,	Tata Steel Limited,198.13,32090982,Sell,Neutral,Neutral,63.6,4.0,,
2026-04-08,TATASTEEL,	Tata Steel Limited,204.18,37018381,Sell,Neutral,Neutral,69.86,3.77,,
2026-04-09,TATASTEEL,	Tata Steel Limited,205.2,36853400,Sell,Neutral,Sell,70.77,9.63,,
2026-04-10,TATASTEEL,	Tata Steel Limited,206.61,28385501,Sell,Neutral,Sell,72.03,8.29,,
2026-04-13,TATASTEEL,	Tata Steel Limited,206.39,25848544,Strong Sell,Neutral,Sell,71.51,4.95,,
2026-04-15,TATASTEEL,	Tata Steel Limited,208.72,30858355,Sell,Neutral,Sell,73.67,8.02,,166.18
2026-04-16,TATASTEEL,	Tata Steel Limited,210.69,26751249,Sell,Neutral,Sell,75.37,9.81,,155.2
2026-04-17,TATASTEEL,	Tata Steel Limited,212.12,22837792,Sell,Neutral,Sell,76.55,9.0,,131.51
2026-04-20,TATASTEEL,	Tata Steel Limited,211.72,24992602,Sell,Neutral,Sell,75.46,9.06,,117.6
2026-04-21,TATASTEEL,	Tata Steel Limited,212.01,17427021,Sell,Neutral,Sell,75.73,8.11,,109.4
2026-04-22,TATASTEEL,	Tata Steel Limited,213.03,20795714,Sell,Neutral,Sell,76.7,7.52,,97.08
2026-04-23,TATASTEEL,	Tata Steel Limited,210.91,19304122,Strong Sell,Neutral,Sell,70.39,3.3,,79.48
2026-04-24,TATASTEEL,	Tata Steel Limited,210.07,22379072,Sell,Neutral,Neutral,68.01,2.37,,64.27
2026-04-27,TATASTEEL,	Tata Steel Limited,213.27,33068230,Strong Sell,Neutral,Sell,71.91,3.22,,85.1
2026-04-28,TATASTEEL,	Tata Steel Limited,215.05,34950491,Strong Sell,Neutral,Sell,73.83,4.2,,98.12
2026-04-29,TATASTEEL,	Tata Steel Limited,,32797039,Strong Sell,Neutral,Sell,73.83,,,
