Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,TCS,Tata Consultancy Services Ltd,2410.5,2466488,Neutral,Neutral,Neutral,,,,
2026-03-16,TCS,Tata Consultancy Services Ltd,2409.2,3807907,Neutral,Neutral,Neutral,,,,
2026-03-17,TCS,Tata Consultancy Services Ltd,2391.7,2993367,Neutral,Neutral,Neutral,,,,
2026-03-18,TCS,Tata Consultancy Services Ltd,2440.8,3082388,Neutral,Neutral,Neutral,,,,
2026-03-19,TCS,Tata Consultancy Services Ltd,2356.0,2757060,Neutral,Neutral,Neutral,,,,
2026-03-20,TCS,Tata Consultancy Services Ltd,2390.6,4206320,Neutral,Neutral,Neutral,,,,
2026-03-23,TCS,Tata Consultancy Services Ltd,2383.8,3860515,Neutral,Neutral,Neutral,,,,
2026-03-24,TCS,Tata Consultancy Services Ltd,2398.8,3420182,Neutral,Neutral,Neutral,,,,
2026-03-25,TCS,Tata Consultancy Services Ltd,2377.4,5843778,Neutral,Neutral,Neutral,,,,
2026-03-27,TCS,Tata Consultancy Services Ltd,2389.8,4979411,Neutral,Neutral,Neutral,,,,
2026-03-30,TCS,Tata Consultancy Services Ltd,2358.9,6804756,Neutral,Neutral,Neutral,,-2.14,,
2026-04-01,TCS,Tata Consultancy Services Ltd,2408.2,4132661,Neutral,Neutral,Neutral,,-0.04,,
2026-04-02,TCS,Tata Consultancy Services Ltd,2450.7,5378361,Neutral,Neutral,Neutral,,2.47,,
2026-04-06,TCS,Tata Consultancy Services Ltd,2473.9,2572417,Sell,Neutral,Neutral,63.59,1.36,,
2026-04-07,TCS,Tata Consultancy Services Ltd,2539.8,4516550,Sell,Neutral,Sell,71.35,7.8,,
2026-04-08,TCS,Tata Consultancy Services Ltd,2559.2,4769337,Sell,Neutral,Sell,73.16,7.05,,
2026-04-09,TCS,Tata Consultancy Services Ltd,2589.0,5628261,Sell,Neutral,Sell,75.71,8.61,,
2026-04-10,TCS,Tata Consultancy Services Ltd,2524.3,10480239,Neutral,Neutral,Neutral,61.97,5.23,,
2026-04-13,TCS,Tata Consultancy Services Ltd,2472.6,3739587,Neutral,Neutral,Neutral,53.6,4.0,,
2026-04-15,TCS,Tata Consultancy Services Ltd,2554.9,5261384,Neutral,Neutral,Sell,62.32,6.91,,110.24
2026-04-16,TCS,Tata Consultancy Services Ltd,2576.9,3905403,Neutral,Neutral,Sell,64.26,9.24,,133.01
2026-04-17,TCS,Tata Consultancy Services Ltd,2581.5,2718206,Neutral,Neutral,Sell,64.67,7.2,,114.54
2026-04-20,TCS,Tata Consultancy Services Ltd,2579.6,2288558,Neutral,Neutral,Sell,64.34,5.26,,103.97
2026-04-21,TCS,Tata Consultancy Services Ltd,2610.5,2719959,Neutral,Neutral,Sell,67.24,5.52,,105.13
2026-04-22,TCS,Tata Consultancy Services Ltd,2538.5,5232045,Neutral,Neutral,Neutral,55.84,-0.05,,50.92
2026-04-23,TCS,Tata Consultancy Services Ltd,2521.8,2509050,Neutral,Neutral,Neutral,53.57,-1.46,,38.4
2026-04-24,TCS,Tata Consultancy Services Ltd,2396.9,5107719,Sell,Neutral,Neutral,40.36,-7.42,,-65.93
2026-04-27,TCS,Tata Consultancy Services Ltd,2447.6,5853425,Neutral,Neutral,Neutral,46.16,-3.04,,-64.76
2026-04-28,TCS,Tata Consultancy Services Ltd,2444.7,4508363,Neutral,Neutral,Neutral,45.89,-1.13,,-51.64
2026-04-29,TCS,Tata Consultancy Services Ltd,,2835655,Neutral,Neutral,Neutral,45.89,,,
