Date,Symbol,Name,Close,Volume,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-13,VEDL,	Vedanta Limited,678.22,15416801,Neutral,Neutral,Neutral,,,,
2026-03-16,VEDL,	Vedanta Limited,674.34,11112301,Neutral,Neutral,Neutral,,,,
2026-03-17,VEDL,	Vedanta Limited,687.86,9586258,Neutral,Neutral,Neutral,,,,
2026-03-18,VEDL,	Vedanta Limited,667.85,11227748,Neutral,Neutral,Neutral,,,,
2026-03-19,VEDL,	Vedanta Limited,654.42,13840558,Neutral,Neutral,Neutral,,,,
2026-03-20,VEDL,	Vedanta Limited,661.16,25993024,Neutral,Neutral,Neutral,,,,
2026-03-23,VEDL,	Vedanta Limited,635.14,21999651,Neutral,Neutral,Neutral,,,,
2026-03-24,VEDL,	Vedanta Limited,640.9,14286858,Neutral,Neutral,Neutral,,,,
2026-03-25,VEDL,	Vedanta Limited,658.65,12926445,Neutral,Neutral,Neutral,,,,
2026-03-27,VEDL,	Vedanta Limited,649.4,17226044,Neutral,Neutral,Neutral,,,,
2026-03-30,VEDL,	Vedanta Limited,654.8,24457507,Neutral,Neutral,Neutral,,-3.45,,
2026-04-01,VEDL,	Vedanta Limited,677.2,16756679,Neutral,Neutral,Neutral,,0.42,,
2026-04-02,VEDL,	Vedanta Limited,687.65,16016248,Neutral,Neutral,Neutral,,-0.03,,
2026-04-06,VEDL,	Vedanta Limited,690.0,13013026,Sell,Neutral,Neutral,60.3,3.32,,
2026-04-07,VEDL,	Vedanta Limited,713.25,20950898,Neutral,Neutral,Neutral,68.14,8.99,,
2026-04-08,VEDL,	Vedanta Limited,721.4,16394216,Sell,Neutral,Sell,70.35,9.11,,
2026-04-09,VEDL,	Vedanta Limited,737.0,15515507,Sell,Neutral,Sell,74.06,16.04,,
2026-04-10,VEDL,	Vedanta Limited,745.15,15333995,Sell,Neutral,Sell,75.77,16.27,,
2026-04-13,VEDL,	Vedanta Limited,752.55,12586088,Sell,Neutral,Sell,77.23,14.26,,
2026-04-15,VEDL,	Vedanta Limited,766.05,23115401,Sell,Neutral,Sell,79.65,17.96,,160.4
2026-04-16,VEDL,	Vedanta Limited,782.85,15151305,Sell,Neutral,Sell,82.18,19.56,,168.13
2026-04-17,VEDL,	Vedanta Limited,787.5,9934013,Sell,Neutral,Sell,82.82,16.29,,145.31
2026-04-20,VEDL,	Vedanta Limited,771.0,10554185,Sell,Neutral,Sell,72.86,12.12,,111.36
2026-04-21,VEDL,	Vedanta Limited,766.8,30562626,Sell,Neutral,Sell,70.53,11.13,,99.87
2026-04-22,VEDL,	Vedanta Limited,757.0,14257215,Neutral,Neutral,Neutral,65.29,6.13,,72.86
2026-04-23,VEDL,	Vedanta Limited,735.6,17456241,Neutral,Neutral,Neutral,55.59,1.97,,39.38
2026-04-24,VEDL,	Vedanta Limited,720.95,19062006,Neutral,Neutral,Neutral,50.09,-2.18,,0.77
2026-04-27,VEDL,	Vedanta Limited,742.5,22351684,Neutral,Neutral,Neutral,56.85,-0.36,,20.96
2026-04-28,VEDL,	Vedanta Limited,739.3,37978285,Neutral,Neutral,Neutral,55.64,-1.76,,25.67
2026-04-29,VEDL,	Vedanta Limited,,54510790,Neutral,Neutral,Neutral,55.64,,,
